term_id,year,rank,term,list_series,source_url
2012-01,2012,1,中国好声音体,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2012-02,2012,2,元芳，你怎么看,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2012-03,2012,3,高富帅，白富美,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2012-04,2012,4,你幸福吗,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2012-05,2012,5,江南Style,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2012-06,2012,6,躺着也中枪,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2012-07,2012,7,吊丝，逆袭,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2012-08,2012,8,舌尖上的中国,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2012-09,2012,9,最炫民族风,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2012-10,2012,10,给跪了,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2013-01,2013,1,中国大妈,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2013-02,2013,2,高端大气上档次,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2013-03,2013,3,爸爸去哪儿,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2013-04,2013,4,小伙伴们都惊呆了,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2013-05,2013,5,待我长发及腰,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2013-06,2013,6,喜大普奔,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2013-07,2013,7,女汉子,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2013-08,2013,8,土豪（金）,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2013-09,2013,9,摊上大事了,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2013-10,2013,10,涨姿势,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2014-01,2014,1,我也是醉了,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2014-02,2014,2,有钱就是任性,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
