year,list_available,expected_terms,observed_terms,source_url,selection_method,corpus_note,comparability_note
2012,1,10,10,https://nlp.ccnu.edu.cn/conference/15,智能信息处理为主，结合专家意见与站点/搜索引擎收录情况,年度汇总页未逐年给出统一规模,同名系列；年度媒介构成与语料规模并非逐年完整公开
2013,1,10,10,https://nlp.ccnu.edu.cn/conference/15,智能信息处理为主，结合专家意见与站点/搜索引擎收录情况,年度汇总页未逐年给出统一规模,同名系列；年度媒介构成与语料规模并非逐年完整公开
2014,1,10,10,https://nlp.ccnu.edu.cn/conference/15,智能信息处理为主，结合专家意见与站点/搜索引擎收录情况,年度汇总页未逐年给出统一规模,同名系列；年度媒介构成与语料规模并非逐年完整公开
2015,1,10,10,https://nlp.ccnu.edu.cn/conference/15,智能信息处理为主，结合专家意见与站点/搜索引擎收录情况,年度汇总页未逐年给出统一规模,同名系列；年度媒介构成与语料规模并非逐年完整公开
2016,1,10,10,https://nlp.ccnu.edu.cn/conference/15,智能信息处理为主，结合专家意见与站点/搜索引擎收录情况,年度汇总页未逐年给出统一规模,同名系列；年度媒介构成与语料规模并非逐年完整公开
2017,1,10,10,https://nlp.ccnu.edu.cn/conference/15,智能信息处理为主，结合专家意见与站点/搜索引擎收录情况,年度汇总页未逐年给出统一规模,同名系列；年度媒介构成与语料规模并非逐年完整公开
2018,1,10,10,https://nlp.ccnu.edu.cn/conference/15,智能信息处理为主，结合专家意见与站点/搜索引擎收录情况,年度汇总页未逐年给出统一规模,同名系列；年度媒介构成与语料规模并非逐年完整公开
2019,1,10,10,https://nlp.ccnu.edu.cn/news/100,智能信息处理为主，结合专家意见与站点/搜索引擎收录情况,年度汇总页未逐年给出统一规模,同名系列；年度媒介构成与语料规模并非逐年完整公开
2020,1,10,10,https://nlp.ccnu.edu.cn/conference/15,智能信息处理为主，结合专家意见与站点/搜索引擎收录情况,年度汇总页未逐年给出统一规模,同名系列；年度媒介构成与语料规模并非逐年完整公开
2021,1,10,10,https://nlp.ccnu.edu.cn/conference/15,智能信息处理为主，结合专家意见与站点/搜索引擎收录情况,年度汇总页未逐年给出统一规模,同名系列；年度媒介构成与语料规模并非逐年完整公开
2022,1,10,10,https://nlp.ccnu.edu.cn/conference/15,智能信息处理为主，结合专家意见与站点/搜索引擎收录情况,年度汇总页未逐年给出统一规模,同名系列；年度媒介构成与语料规模并非逐年完整公开
2023,1,10,10,https://nlp.ccnu.edu.cn/conference/15,智能信息处理为主，结合专家意见与站点/搜索引擎收录情况,年度汇总页未逐年给出统一规模,同名系列；年度媒介构成与语料规模并非逐年完整公开
2024,1,10,10,https://nlp.ccnu.edu.cn/conference/15,智能信息处理为主，结合专家意见与站点/搜索引擎收录情况,年度汇总页未逐年给出统一规模,同名系列；年度媒介构成与语料规模并非逐年完整公开
2025,1,10,10,https://nlp.ccnu.edu.cn/news/146,智能信息处理为主，结合专家意见与站点/搜索引擎收录情况,视频弹幕、网络新闻等；超过78亿字符,同名系列；年度媒介构成与语料规模并非逐年完整公开
